Project Name,Description,Id,Ref,Source,"Publishers (Name, Reference)",Currency,Commitment,Disbursment,"Donor (Name, reference, type)",Contract Signature Date,Final Date for Implementation,Recipients,Sectors,Contract Status,"Aid Types (Name, code)",Finance Type Code,Finance Type,Activity Flow Code,Activity Flow Type,Collaboration Type Code,Collaboration Type,"Transactions (Code, Type, Amount, Start date, End date, Implementing Partner ID, Implementing Partner name)","Markers (Id, name, type)"
Printing of the Peace Process Brochure,null,null,EC-FPI-2013/331-314,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,700.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2013-12-09,2014-01-08,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,700.0,2013-Dec-17,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Support to democratization processes in Sudan through the capacity-building of National Elections Commission and contribution to an inclusive political participation,The overall objective of the project is to support deepening and consolidation of Sudans democratisation process through capacity-building and strengthening of National Elections Commission and through contribution to inclusive political participation.,null,EC-FPI-2012/303-831,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,576368.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2013-01-01,2013-12-31,,Government and Civil Society,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,411000.0,2013-Feb-21,,230015575,EC;E,Expenditure,165368.0,2014-Apr-01,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG;3,Develop a global partnership framework,MDG"
Mid term review of EU support to the peace process in Southern Philippines under the Instrument for Stability,"The specific objectives are:(1) To undertake an independent evaluation of the current IfS programme in support to the peaceProcess in general and;(2) Concerning current activities, to provide recommendations on possible improvements andconcerning future commitments, to suggest appropriate actions to support the Parties in theimplementation of the Peace Agreement during the transition phase.",null,EC-FPI-2013/322-922,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,27300.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2013-08-25,2013-09-24,,Security,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,19110.0,2013-Nov-27,,230015575,EC;E,Expenditure,8190.0,2013-Aug-29,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Organisation of an EU-Georgia Strategic Dialogue Seminar,Organisation of the 2nd high-level seminar between EU and Government of Georgia,null,EC-FPI-2013/316-553,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,19797.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2013-04-29,2013-07-28,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,19797.0,2013-May-21,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Provision of technical assistance to the SMR,null,null,EC-FPI-2013/316-564,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,7100.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2013-04-09,2013-06-08,,Security,3,"""Contributions to Specific-Purpose Programmes and Funds Managed by International Organisations ,B03,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,7100.0,2013-Aug-30,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Design of the Peace Process Brochure,null,null,EC-FPI-2013/331-308,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,280.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2013-11-06,2013-12-05,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,280.0,2013-Nov-07,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Post Disaster Needs Assessment: Roll-out in disaster prone countries,"This project is in response to the demand for PDNA capacity building of both Governments, to be able to ultimately undertake informed and sustainable recovery processes, and of UN staff as well as other relevant stakeholders and regional institutions for them to provide a sustained support to Governments in post-disaster assessments and recovery processes.",null,EC-FPI-2012/303-264,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,1004088.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-11-01,2014-10-31,,Economic Recovery and Infrastructure,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,639775.0,2014-Dec-19,,;D,Disbursement,364313.0,2012-Oct-29,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;1,Promote gender equality and empower women,MDG;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG"
Confidence Building Early Response Mechanism (COBERM) - II,null,null,EC-FPI-2012/301-426,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,4892241.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-06-02,2015-06-01,,Security,3,"""Contributions to Specific-Purpose Programmes and Funds Managed by International Organisations ,B03,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,1060165.0,2012-Nov-20,,;D,Disbursement,2404877.0,2013-Aug-27,,;D,Disbursement,92241.0,2016-Mar-24,,;D,Disbursement,1334958.0,2014-Jun-06,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Fortalecimiento de los pueblos indgenas y originarios de Bolivia en la administración de la justicia plural y mecanismos de solución de conflictos'',null,null,EC-FPI-2011/281-202,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,696203.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-01-03,2015-01-02,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,10882.0,2015-Aug-21,,230015575,EC;D,Disbursement,230964.0,2013-Apr-02,,230015575,EC;D,Disbursement,223393.0,2011-Dec-22,,230015575,EC;D,Disbursement,230964.0,2014-Mar-24,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
SCE - Promoting participatory approaches in Khyber Pakhtunkhwa (KP) and the Federally Administered Trible Areas (FATA) of Pakistan.,Stabilisation and Counter Extremism - SCE - Promoting participatory approaches in Khyber Pakhtunkhwa (KP) and the Federally Administered Trible Areas (FATA) of Pakistan.This projects seeks to promote a more consistent and coherent approach to peace-building in Khyber Pakhtunkhwa (KPK) and the Federally Administered Tribal Areas (FATA) through the support to participatory approaches.,null,EC-FPI-2011/269-398,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,680581.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-01-16,2015-01-15,,Security,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,172450.0,2012-Jan-20,,230015575,EC;D,Disbursement,257294.0,2013-Sep-17,,230015575,EC;D,Disbursement,250837.0,2014-Dec-18,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Dialogue Coordination Mechanism,"facilitate coordination and implementation of relevant activities in Abkhazia (especially healthcare and education programs, and transportation and freedom of movement) through further strengthening a one-stop shop clearance process, in accordance with current legislation.",null,EC-FPI-2012/301-431,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,658897.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-06-03,,,Coordination and Support Services,3,"""Contributions to Specific-Purpose Programmes and Funds Managed by International Organisations ,B03,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,271162.0,2013-Jan-17,,;D,Disbursement,356629.0,2014-Jan-23,,;D,Disbursement,31106.0,2016-Jan-27,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
SCE - Plural Business Partnership for Peace in Pakistan,"Stabilisation and Counter Extremism-Plural Business Partnership for Peace in PakistanThe project will build the peace-building knowledge, capacity and networks of key business change agents. Based on International Alerts international experience, the project will build the capacity of selected, influential opinion leaders within the private sector to become key business change agents who will play a multiplier function within reputed business networks and associations in support of peace.",null,EC-FPI-2011/269-327,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,458968.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-02-01,2014-01-31,,Security,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,34975.0,2016-Feb-15,,230015575,EC;D,Disbursement,203376.0,2012-Jan-24,,230015575,EC;D,Disbursement,220617.0,2013-May-24,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Expert -Conseilleur en appui à la coordination centrale (Haute Autorité à la Consolidation de la Paix) dans le cadre du Programme d'Appui à la sécurité et la stabilisation dans le Nord du Niger et du Mali - Instrument de Stabilité Cour Terme (IdS CT),"Appuyer la Haute Autorité de la Consolidation de la Paix (HACP) dans la tâche de coordination et de la supervision de la mise en uvre du programme financé par l'IdS court terme et faciliter la liaison entre les différents acteurs de la mise en uvre  de trois composantes du programme, etc.",null,EC-FPI-2012/290-656,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,217969.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-04-03,2013-10-02,,Security,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"E,Expenditure,12471.0,2012-Nov-07,,230015751,null;E,Expenditure,22353.0,2013-Feb-12,,230015751,null;E,Expenditure,23491.0,2013-Oct-14,,230015751,null;E,Expenditure,25885.0,2013-Aug-05,,230015751,null;E,Expenditure,67332.0,2012-Apr-18,,230015751,null;E,Expenditure,19669.0,2012-Sep-22,,230015751,null;E,Expenditure,15416.0,2013-Apr-23,,230015751,null;E,Expenditure,7776.0,2013-Jan-22,,230015751,null;E,Expenditure,15576.0,2013-Dec-03,,230015751,null;E,Expenditure,8000.0,2013-Mar-28,,230015751,null","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Improving the Capacity of Non-State Actors (Peace Building and Partnership Support),"Overall objective: Liberian youth are empowered to prevent conflict and to consolidate peace through mediation, dialogue and economic participation",null,EC-FPI-2012/309-860,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,195208.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-12-21,2014-12-20,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,113342.0,2013-Jan-30,,230015575,EC;D,Disbursement,-113342.0,2013-Feb-25,,230015575,EC;D,Disbursement,113342.0,2013-Mar-01,,230015575,EC;D,Disbursement,81866.0,2014-Feb-07,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG;3,Develop a global partnership framework,MDG"
Appui à la sécurité et à la stabilisation dans le Nord du Niger et du Mali,"Le projet vise à contribuer à améliorer la situation sécuritaire dans le Nord du Niger et du Mali, notamment dans la région d'Agadez, y atténuant les risques d'un retour du conflit ou d'une aggravation de la menace terroriste",null,XI-IATI-EC_FPI-2012/23754/0,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,1.0558693E7,0.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2015-06-12,,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"C,Commitment,9100000.0,2012-Feb-29,,230015587,United Nations agency, fund or commission (UN);C,Commitment,1820000.0,2012-Jul-09,,230015587,United Nations agency, fund or commission (UN);C,Commitment,-361307.0,2015-Jun-12,,230015587,United Nations agency, fund or commission (UN)","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG;3,Develop a global partnership framework,MDG"
Stabilizing Somalia: Negating the explosive threat to Somalis and creating conditions for access and recovery,"Goal:Provide an environment free from explosive threats for recovery efforts in Mogadishu, specifically focusing on areas prioritized by the Mogadishu Stabilization and Recovery Plan",null,EC-FPI-2012/288-699,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,1.17E7,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-05-02,2013-10-01,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,7558308.0,2012-Jun-04,,;D,Disbursement,4141692.0,2014-Feb-06,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Enhancing Legal and Electoral Capacity for Tomorrow - Phase 2 (ELECT II),null,null,EC-FPI-2012/280-155,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,1.0000001E7,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-03-19,2013-09-18,,Government and Civil Society,3,"""Contributions to Specific-Purpose Programmes and Funds Managed by International Organisations ,B03,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,3477444.0,2014-Feb-26,,;D,Disbursement,165414.0,2015-Jan-21,,;D,Disbursement,6357143.0,2012-Apr-22,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
"Operational Support for the Verification, Refugee Status Determination and the Search for Durable Solutions for residents of Camp New Iraq","Help ensure that the relocation of the residents is carried out in a voluntary and peaceful manner by providing UN monitoring throughout the process, and to enable the conduct of UNHCR mandate procedures.",null,EC-FPI-2012/296-704,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,8933275.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-03-05,2013-09-04,,Security,3,"""Contributions to Specific-Purpose Programmes and Funds Managed by International Organisations ,B03,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,200000.0,2014-Jan-31,,230015575,EC;D,Disbursement,636264.0,2014-Dec-23,,230015575,EC;D,Disbursement,8097011.0,2012-Jul-10,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
"Security, Protection and Stabilization Program in Libya (Protection and Demining Activities)","Clearance of UXO/AXO and ERW, (ii) the protection of vulnerable groups and minorities, (iii) capacity building of national authorities in mine action clearance, and (iv) prevention and reduction of armed violence",null,EC-FPI-2012/302-773,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,4743208.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-09-01,2014-02-28,,Security,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,743208.0,2015-May-04,,230015575,EC;D,Disbursement,1225000.0,2014-May-12,,230015575,EC;D,Disbursement,2775000.0,2012-Nov-27,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Joint Conflict Reduction Programme,The project address immediate conflict risks and contribute to long-term conflict resolution and peace building in the Protocol Areas of the Sudan,null,EC-FPI-2012/276-227,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,3942851.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-05-15,2013-11-14,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,2329531.0,2012-May-29,,;D,Disbursement,1481563.0,2014-Jan-27,,;D,Disbursement,131757.0,2015-Apr-30,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Contribution à la Consolidation de la Paix dans le Nord du Niger,"- La sécurité des personnes et des biens est renforcée.- Les risques daccidents liés aux mines et armes illicites sont identifiés et atténués.- Les jeunes désuvrés sont réinsérés et appuyés dans leur communauté et lemployabilité des jeunes est dynamisée au niveau des communautés ciblées.- La culture de la paix est promue au niveau des communautés, des conseils communaux et du conseil régional dAgadez.",null,EC-FPI-2012/291-229,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2635036.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-04-28,2013-10-27,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,1701799.0,2012-Jun-01,,;D,Disbursement,131751.0,2015-Jan-22,,;D,Disbursement,801486.0,2013-Aug-31,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Electoral cycle support to the Election Commission of Pakistan,"The purpose of the Action is to provide technical assistance to the Election Commission of Pakistan to strengthen its capacity to hold free, fair and transparent elections according to international standards . EU support (18 months measure) is directed particularly towards the preparations of next general elections, while the overall UNDP project covers the period 2012-2014.",null,EC-FPI-2012/284-461,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2495822.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-08-17,2014-02-16,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,2000000.0,2012-Aug-27,,;D,Disbursement,250000.0,2014-Feb-18,,;D,Disbursement,245822.0,2015-Apr-28,,","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;3,Develop a global partnership framework,MDG;2,Ensure environmental sustainability,MDG;1,Promote gender equality and empower women,MDG"
Programme d'Appui au Déminage et à la Dépolution du Nord et de l'Est du Tchad,Les principaux axes de circulation et les principales zones de retour et réinstallation dans le nord et l'est du Tchad sont déminées et dépollués,null,EC-FPI-2012/302-163,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2472173.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-10-01,2013-09-30,,Security,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,1700000.0,2013-Jan-25,,230015575,EC;D,Disbursement,300000.0,2012-Dec-14,,230015575,EC;D,Disbursement,27049.0,2015-Jul-02,,230015575,EC;D,Disbursement,445124.0,2014-Dec-17,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Long Term Election Observation and Oversight in Pakistan,The overall objective of the project is to contribute to strengthened democratic institutions and practices in Pakistan through greater public trust in transparent and accountable electoral processes. The specific purpose is to contribute to strengthened enforcement of election laws leading to greater trust of political parties and people.,null,EC-FPI-2012/284-456,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2310398.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-12-21,2014-06-20,,Government and Civil Society,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,293513.0,2014-Sep-08,,230015575,EC;D,Disbursement,810595.0,2013-Sep-12,,230015575,EC;D,Disbursement,990000.0,2013-Jan-18,,230015575,EC;D,Disbursement,121077.0,2015-Apr-28,,230015575,EC;D,Disbursement,95213.0,2014-Dec-18,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
Drought Recovery and Resilience Partnership projects in Borana,"This project aims to provide support for recovery and build the resilience of drought affected pastoral and agro-pastoral communities (87,970 beneficiaries) in Borana zone of the Oromia NRS with focus on improving rangeland, water access and livestock assets in a process that will rebuild these resources and facilitate recovery from the effects of the recent drought.",null,EC-FPI-2012/290-882,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2295624.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-04-27,2013-10-26,,Commodity Aid and General Programme Assistance,3,"""Project-Type Interventions,C01,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,98846.0,2014-Dec-19,,230015575,EC;D,Disbursement,812112.0,2014-Jan-27,,230015575,EC;D,Disbursement,1000000.0,2012-Jul-13,,230015575,EC;D,Disbursement,384666.0,2014-Dec-04,,230015575,EC","8,Desertification,Rio Marker;6,Climate change mitigation,Rio Marker;5,Biodiversity,Rio Marker;7,Climate change adaptation,Rio Marker;14,Trade development,DAC marker;1,Promote gender equality and empower women,MDG;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG"
Libyan Protection Governance Initiative (LPGI),"Network of non-state actors and government agencies providing access to shelter, education and basic health care and facilitating acquisition of civic rights, including identity documents for vulnerable and displaced communities",null,EC-FPI-2012/302-861,23,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,",EUR,0.0,2111884.0,"European Commission - Service for Foreign Policy Instruments,XI-IATI-EC_FPI,Other Public Sector,",2012-07-01,2013-12-31,,Social Infrastructure and Services,3,"""Other Technical Assistance,D02,""",110,Aid grant excluding debt reorganisation,10,(IATI) ODA,1,Bilateral,"D,Disbursement,200931.0,2014-Jun-27,,230015575,EC;D,Disbursement,1000000.0,2012-Nov-28,,230015575,EC;D,Disbursement,-103159.0,2015-Apr-13,,230015575,EC;D,Disbursement,103159.0,2015-Mar-19,,230015575,EC;D,Disbursement,103159.0,2015-Apr-24,,230015575,EC;D,Disbursement,807794.0,2013-Oct-04,,230015575,EC","7,Climate change adaptation,Rio Marker;8,Desertification,Rio Marker;5,Biodiversity,Rio Marker;6,Climate change mitigation,Rio Marker;14,Trade development,DAC marker;2,Ensure environmental sustainability,MDG;3,Develop a global partnership framework,MDG;1,Promote gender equality and empower women,MDG"
